,Event name,Event date,Country,City,Address,Website,IATA,distances
26,Motocultor Across Europe,2026-01-27,Switzerland,PRATTELN,"Z7, PRATTELN, Switzerland",,"['BSL;MLH;EAP', 'SXB', 'GVA']","[15, 113, 186]"
27,Motocultor Across Europe,2026-01-28,Germany,MUNICH,"Backstage Halle, MUNICH, Germany",http://www.eventim.de/event/nanowar-of-steel-backstage-halle-20309298/,"['MUC', 'FMM', 'SZG']","[28, 100, 112]"
28,Motocultor Across Europe,2026-01-29,Germany,COLOGNE,"Gebaude 9, COLOGNE, Germany",http://www.eventim.de/event/nanowar-of-steel-gebaeude-9-20309301/,"['DUS', 'DTM', 'MST']","[41, 78, 83]"
29,Motocultor Across Europe,2026-01-30,France,LE MANS,"L'Oasis, LE MANS, France",https://access-live.net/agenda/nanowar-steel-uuhai,"['CFR', 'RNS', 'NTE']","[138, 143, 165]"
30,Motocultor Across Europe,2026-01-31,France,COLMAR,"Le Grillen, COLMAR, France",https://access-live.net/agenda/nanowar-steel-uuhai,"['BSL;MLH;EAP', 'SXB', 'SCN']","[54, 54, 127]"
31,Motocultor Across Europe,2026-02-01,Germany,HERFORD,"Kulturwerk, HERFORD, Germany",http://www.eventim.de/event/nanowar-of-steel-kulturwerk-herford-ehemals-x-20309333/,"['PAD', 'FMO', 'HAJ']","[55, 67, 78]"
32,Motocultor Across Europe,2026-02-03,Germany,HAMBURG,"Logo, HAMBURG, Germany",http://www.eventim.de/event/nanowar-of-steel-logo-hamburg-20309370/,"['HAM', 'LBC', 'BRE']","[9, 55, 98]"
33,Motocultor Across Europe,2026-02-04,Germany,ASCHAFFENBURG,"Colosaal, ASCHAFFENBURG, Germany",http://www.eventim.de/event/nanowar-of-steel-colos-saal-20309258/,"['NUE', 'SCN', 'ERF']","[148, 168, 170]"
34,Motocultor Across Europe,2026-02-05,Czechia,PRAHA,"Futurum, PRAHA, Czechia",https://predprodej.cz/cs/vstupenky/motocultor-across-europe-tour-2026-nanowar-of-steel-uuhai-special-guests-2026-02-05/,"['KLV', 'DRS', 'BRQ']","[109, 128, 190]"
35,Motocultor Across Europe,2026-02-06,Poland,KRAKOW,"Studio, KRAKOW, Poland",https://ticketclub.pl/koncerty/nanowar-of-steel-uuhai-supports-motocultor-across-europe-tour-2026-klub-studio-krakow-3704/,"['KRK', 'KTW', 'TAT']","[15, 80, 109]"
36,Motocultor Across Europe,2026-02-07,Slovakia,BRATISLAVA,"Randal Club, BRATISLAVA, Slovakia",https://predpredaj.zoznam.sk/sk/listky/motocultor-across-europe-tour-2026-nanowar-of-steel-uuhai-special-guests-2026-02-07/,"['BTS', 'VIE', 'PZY']","[8, 41, 74]"
37,Motocultor Across Europe,2026-02-08,Germany,BERLIN,"Lido, BERLIN, Germany",http://www.eventim.de/event/nanowar-of-steel-lido-20309421/,"['LEJ', 'DRS', 'SZZ']","[145, 155, 156]"
