,Event name,Event date,Country,City,Address,Website,IATA,distances
1,Nanowar Of Steel at Le Secret Place ,2024-03-28, France,Montpellier,Montpellier,https://www.songkick.com/concerts/41623697-nanowar-of-steel-at-le-secret-place?utm_source=60345&utm_medium=partner,"['MPL', 'MRS', 'TLN']","[10, 111, 193]"
2,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Bikini ",2024-03-29, France,Ramonville St Agne,Toulouse,https://www.songkick.com/concerts/41146439-les-tambours-du-bronx-at-le-bikini?utm_source=60345&utm_medium=partner,"['TLS', 'PUF', 'MPL']","[12, 154, 199]"
3,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Transbordeur ",2024-03-30, France,Villeurbanne,Lyon,https://www.songkick.com/concerts/41146444-les-tambours-du-bronx-at-le-transbordeur?utm_source=60345&utm_medium=partner,"['LYS', 'GNB', 'CMF']","[18, 59, 80]"
4,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Trianon ",2024-03-31, France,Paris,Paris,https://www.songkick.com/concerts/41146445-les-tambours-du-bronx-at-le-trianon?utm_source=60345&utm_medium=partner,"['CDG', 'BVA', 'LIL']","[21, 65, 195]"
5,Nanowar Of Steel at DVG Club ,2024-04-01, Belgium,Kortrijk,Kortrijk,https://www.songkick.com/concerts/41623698-nanowar-of-steel-at-dvg-club?utm_source=60345&utm_medium=partner,"['LIL', 'BRU', 'CRL']","[31, 85, 93]"
6,Nanowar Of Steel at O2 Academy Islington ,2024-04-02, UK,London,London,https://www.songkick.com/concerts/41623708-nanowar-of-steel-at-o2-academy-islington?utm_source=60345&utm_medium=partner,"['LTN', 'LGW', 'STN']","[42, 42, 45]"
7,Nanowar Of Steel at O2 Academy 3 Birmingham ,2024-04-03, UK,Birmingham,Birmingham,https://www.songkick.com/concerts/41623709-nanowar-of-steel-at-o2-academy-3-birmingham?utm_source=60345&utm_medium=partner,"['LPL', 'LTN', 'DSA']","[115, 123, 126]"
